cmc_id,symbol,name,narrative,price,volume,market_cap
74,DOGE,Dogecoin,meme,0.16880916492848067,1008729842.9722244,25322836016.176674
5994,SHIB,Shiba Inu,meme,1.1778109460820372e-05,116055420.3934188,6940216265.753898
24478,PEPE,Pepe,meme,9.928665246890993e-06,620230475.0696031,4176889186.408197
3773,FET,Artificial Superintelligence Alliance,ai,0.6680748037279274,90235210.28423913,1598453720.6174378
10804,FLOKI,FLOKI,meme,8.321481942742147e-05,123680809.119515,800864311.7112283
28782,POPCAT,Popcat (SOL),meme,0.283479920301894,44146182.79562938,277802720.26840127
30126,MEW,cat in a dogs world,meme,0.0026998379555267147,26852921.4298545,239985596.04441923
10407,BabyDoge,Baby Doge Coin,meme,1.247331965101862e-09,27915912.5096991,208444102.4132284
29256,USDY,Ondo US Dollar Yield,rwa,1.0970107228513262,1413083.52979739,637766933.469257
35491,M,MemeCore,meme,0.1924907715883604,67555214.2454186,304001581.43106866
36671,SAHARA,Sahara AI,ai,0.07753748214975582,126890739.89601699,158176463.58550188
35347,MELANIA,Official Melania Meme,meme,0.17802925277144757,11865739.20779174,145983625.40974763
34880,ALCH,Alchemist AI,ai,0.1324236029864065,15171066.71482964,112560062.53844553
29870,BOME,BOOK OF MEME,meme,0.0015377483370709478,33465388.55871243,105996632.99943374
32968,AIC,AI Companions,ai,0.13291652220121883,6069991.235185,99687351.77595747
27178,PAAL,PAAL AI,ai,0.09653883522407004,4855154.9698887,94209017.15171568
23355,0x0,0x0.ai,ai,0.09654887773406948,312339.67089367,83858826.82107596
10688,YGG,Yield Guild Games,gaming,0.14663357360501805,12183682.61355177,77363319.89308186
28301,MEME,Memecoin,meme,0.001501817477932214,18991816.34761813,75479685.64048906
20605,TAI,TARS AI,ai,0.07694277865300996,3966338.47137762,68647558.75081113
9436,ELON,Dogelon Mars,meme,1.1590027315589797e-07,3255486.71428216,63704906.202391714
19055,AITECH,Solidus Ai Tech,ai,0.03882374131398595,8000078.63621166,59848457.183392964
25220,BITCOIN,HarryPotterObamaSonic10Inu (ERC-20),meme,0.05663767452294818,4618372.50160277,56626242.49153409
31246,GAME,GameBuild,gaming,0.0030540734855003743,4370689.02959868,54136443.85193173
28688,AIAT,AI Analysis Token,ai,0.3545229865228239,445752.29530915,51898429.36837437
15584,HEART,Humans.ai,ai,0.006371905154227411,411079.56188769,49700860.202973805
32724,CAT,Simon's Cat,meme,6.775665065646244e-06,7574249.30399396,49429948.84002145
29933,UDS,Undeads Games,gaming,1.0520033998586904,695247.797407,48179658.0187487
35943,PUNDIAI,Pundi AI,ai,6.357028543999089,2129004.35467051,44865440.9364705
11865,BONE,Bone ShibaSwap,meme,0.19218433253375153,3219112.70266557,44187665.673381954
16876,ALI,Artificial Liquid Intelligence,ai,0.004614168043422863,1119049.16838113,42072404.96131852
21706,GRND,SuperWalk,rwa,0.058659009336053454,206518.41685853,39758797.07521372
28846,AI,Sleepless AI,ai,0.10872548448813853,6694376.93252419,39671210.971037984
24835,PEPECOIN,PepeCoin,meme,0.34950112307866615,544434.76020816,37416618.33048839
33566,ACT,Act I : The AI Prophecy,ai,0.03813547538208038,16485316.51185464,36161768.02014748
30637,KEYCAT,Keyboard Cat,meme,0.0036013077942129105,1962821.06924906,36013077.942129105
12749,NAKA,Nakamoto Games,gaming,0.33018479603249196,7816967.39834421,34921549.863268524
28675,COQ,Coq Inu,meme,4.659311076168785e-07,2864978.31411913,32344937.490763705
20964,LBT,Law Blocks (AI),ai,0.1309380945725694,329405.78172356,32079569.722833227
29513,GPU,Node AI,ai,0.30986239477704947,5637523.50879836,30387999.16478777
24502,WOJAK,Wojak,meme,0.0004269971892632374,1164571.26682575,29635623.238282062
35482,AGIALPHA,AGI ALPHA AGENT,ai,0.027962152793930155,391774.8056305,27962066.217792295
25023,LADYS,Milady Meme Coin,meme,3.646411009725106e-08,4449308.98842405,26778003.522815105
34926,ARC,AI Rig Complex,ai,0.025394343097414382,819736.24996158,25394300.409523636
32966,CATI,Catizen,meme,0.07790424396246194,6758142.71673922,25380423.640530474
32171,$PURPE,Purple Pepe,meme,5.1400425427263576e-05,843711.36003918,21444966.911374867
24477,AIDOGE,ArbDoge AI,meme,1.18393634603496e-10,4462398.94610555,20654467.716054134
6069,ASM,Assemble AI,ai,0.013235106023950243,202471.39878243,19852659.035925366
31806,PEP,Pepecoin,meme,0.00020114771593892852,44919.16171944,19823710.848929223
34158,VERTAI,Vertical AI,ai,0.1965892777910098,532610.86475101,19658927.77910098
28446,SPECTRE,SPECTRE AI,ai,1.8947055907011419,614768.05539518,18934116.96253252
28567,PALM,PaLM AI,ai,0.2449896381412137,110359.11787984,18895983.735901505
29220,PORK,PepeFork,meme,4.7381974893379386e-08,491189.87489457,18788646.144197818
23802,KIBSHI,KiboShib,meme,1.8706874224096025e-05,305944.98658915,18706874.224096026
31248,GME,GameStop (gamestop-coin.vip),gaming,4.3613334075749334e-05,931769.49647969,17938054.575341113
23397,GFAL,Games for a Living,gaming,0.004701920962215191,152164.71543303,17814533.460683748
25714,CROWN,Crown by Third Time Games,gaming,0.09171001755161315,79753.94315781,17481384.14593139
6554,GHX,GamerCoin,gaming,0.026225159145079776,333593.73673127,17045438.798756238
35601,DOGEAI,DOGEai,meme,0.022017461669395465,1947296.89972407,16513096.252046598
18966,MAY,Mayflower AI,ai,0.05945670594632836,333922.08736887,15671639.465730418
15270,VINU,Vita Inu,meme,1.6010758599547168e-08,2301559.20646314,14403235.889426574
20490,ROG,ROGin AI,ai,0.21212663277000182,52029.75942179,14210336.318577306
36805,AVM,Agent Virtual Machine,ai,0.26099280248715984,1158231.53028188,13871767.452192545
15752,BLOCK,Blockasset,rwa,0.07710708090625713,340746.75224398,13324975.491279634
36605,ZEUS,Pepes Dog,meme,3.093647298858141e-08,2869654.73320005,13014664.821566314
30953,SBBTC,ShibaBitcoin,meme,109.47922101101712,410373.27865321,12763477.413222888
34994,DEGENAI,Degen Spartan AI,ai,0.01212847429330049,2942584.72573287,12127867.833200403
11783,GAFI,GameFi.org,gaming,1.0765003768082306,306081.29429762,11782364.640474092
35669,CAR,Central African Republic Meme,meme,0.011496513644134397,842344.10755004,11496129.57085221
